Rank,Deck Name,Champion List,Average Place,Pick Rate,Win Rate
A,Emissary Garen,"['Garen', 'Corki', 'Ambessa', 'Nami', 'Malzahar', 'Rumble', 'Rell', 'Tristana', 'Vladimir']",4.26,0.06,14.4%
A,Rebel Illaoi,"['Illaoi', 'Zoe', 'Jinx', 'Sett', 'Rumble', 'Ekko', 'Ezreal', 'Akali', 'Irelia']",4.28,0.52,15.4%
A,Bruiser Twitch,"['Twitch', 'Dr. Mundo', 'Elise', 'Caitlyn', 'Renni', 'Nunu', 'Sett', 'Steb', 'Trundle']",4.31,0.30,11.1%
A,Sniper Twitch,"['Twitch', 'Dr. Mundo', 'Caitlyn', 'Elise', 'Jayce', 'Blitzcrank', ""Kog'Maw"", 'Nunu', 'Maddie']",4.32,0.13,11.8%
A,Sorcerer Garen,"['Garen', 'Swain', 'LeBlanc', 'Zoe', 'Ambessa', 'Elise', 'Nami', 'Tristana', 'Vladimir']",4.35,0.39,13.5%
A,Quickstriker Nocturne,"['Nocturne', ""Kog'Maw"", 'Blitzcrank', 'Ambessa', 'Caitlyn', 'Twisted Fate', 'Akali', 'Amumu']",4.35,0.15,9.9%
A,Watcher Zeri,"['Zeri', 'Scar', 'Garen', ""Kog'Maw"", 'Vander', 'Vladimir', 'Amumu', 'Darius']",4.37,0.46,8.8%
A,Black Rose Silco,"['Silco', 'Dr. Mundo', 'Mordekaiser', 'Cassiopeia', 'LeBlanc', 'Elise', 'Garen', 'Vladimir', 'Morgana']",4.37,0.42,10.9%
A,Enforcer Vi,"['Caitlyn', 'Vi', 'Loris', 'Twisted Fate', 'Sevika', 'Rumble', 'Camille', 'Steb', 'Maddie']",4.39,0.53,13.7%
A,Ambusher Smeech,"['Smeech', 'Ekko', 'Jinx', 'Garen', 'Loris', 'Scar', 'Camille', 'Powder']",4.39,0.36,13.8%
A,Pit Fighter Violet,"['Violet', 'Draven', 'Vander', 'Powder', 'Vi', 'Gangplank', 'Urgot', 'Darius']",4.40,0.47,10.7%
A,Watcher Vander,"['Vander', 'Powder', 'Garen', 'Violet', 'Scar', 'Vladimir', 'Amumu', 'Darius']",4.40,0.10,14.8%
A,Quickstriker Twisted Fate,"['Twisted Fate', 'Akali', 'Ambessa', 'Loris', 'Illaoi', 'Nocturne', 'Rell', 'Irelia']",4.42,0.32,11.2%
A,Emissary Garen Jayce,"['Garen', 'Jayce', 'Gangplank', 'Elise', 'Sevika', 'Ambessa', 'Nami', 'Swain', 'Tristana']",4.43,0.06,13.0%
A,Experiment Twitch,"['Twitch', 'Dr. Mundo', 'Caitlyn', 'Elise', 'Vi', 'Nunu', 'Urgot', 'Zyra']",4.43,0.18,10.3%
A,Academy Heimerdinger,"['Heimer', 'Illaoi', 'Jayce', 'Ezreal', 'Rumble', 'Loris', 'Leona', 'Rell', 'Irelia']",4.44,0.36,9.4%
A,Bruiser Tristana,"['Tristana', 'Corki', 'Renni', 'Trundle', 'Elise', 'Nunu', 'Sett', 'Steb']",4.44,0.03,11.4%
A,Pit Fighter Vi,"['Vi', 'Gangplank', 'Sevika', 'Swain', 'Jayce', 'Elise', 'Urgot', 'Draven', 'Violet']",4.45,0.13,15.8%
A,Automata Kog'Maw,"[""Kog'Maw"", 'Blitzcrank', 'Garen', 'Amumu', 'Malzahar', 'Scar', 'Nocturne', 'Vander']",4.46,0.07,10.0%
A,Sorcerer Zyra,"['Zyra', 'Dr. Mundo', 'Swain', 'Zoe', 'Nami', 'Nunu', 'Vladimir', 'Lux']",4.48,0.02,11.4%
A,Conqueror Swain,"['Swain', 'Mordekaiser', 'Ambessa', 'Gangplank', 'Jayce', 'Elise', 'Rell', 'Darius', 'Draven']",4.50,0.50,21.6%
